County,Year,Tax_type,Amount
Leitrim,2021,Total,212.38
Limerick,2021,VAT,267.71
Limerick,2021,Corporation Tax,290.2
Limerick,2021,Capital Gains Tax,48.61
Limerick,2021,Income Taxes,767.89
Limerick,2021,Total,1374.4099999999999
Longford,2021,VAT,35.25
Longford,2021,Corporation Tax,16.64
Longford,2021,Capital Gains Tax,2.34
Longford,2021,Income Taxes,77.71
Longford,2021,Total,131.94
Louth,2021,VAT,176.44
Louth,2021,Corporation Tax,101.03
Louth,2021,Capital Gains Tax,48.67
Louth,2021,Income Taxes,308.6
Louth,2021,Total,634.74
Mayo,2021,VAT,121.48
Mayo,2021,Corporation Tax,112.56
Mayo,2021,Capital Gains Tax,16.91
Mayo,2021,Income Taxes,268.71999999999997
Mayo,2021,Total,519.67
Meath,2021,VAT,269.47
Meath,2021,Corporation Tax,193.23
Meath,2021,Capital Gains Tax,53
Meath,2021,Income Taxes,544.83
Meath,2021,Total,1060.53
Monaghan,2021,VAT,79.88
Monaghan,2021,Corporation Tax,48.56
Monaghan,2021,Capital Gains Tax,4.39
Monaghan,2021,Income Taxes,121.8
Monaghan,2021,Total,254.63
Offaly,2021,VAT,65.15
Offaly,2021,Corporation Tax,48.87
Offaly,2021,Capital Gains Tax,10.66
Offaly,2021,Income Taxes,319.40999999999997
Offaly,2021,Total,444.09
Roscommon,2021,VAT,68.79
Roscommon,2021,Corporation Tax,24.52
Roscommon,2021,Capital Gains Tax,7.53
Roscommon,2021,Income Taxes,79.86
Roscommon,2021,Total,180.70000000000002
Sligo,2021,VAT,113.43
Sligo,2021,Corporation Tax,37.62
Sligo,2021,Capital Gains Tax,11.13
Sligo,2021,Income Taxes,149.02
Sligo,2021,Total,311.2
Tipperary,2021,VAT,200.46
Tipperary,2021,Corporation Tax,64.88
Tipperary,2021,Capital Gains Tax,21.06
Tipperary,2021,Income Taxes,274.71
Tipperary,2021,Total,561.11
Waterford,2021,VAT,130.08
Waterford,2021,Corporation Tax,113.12
Waterford,2021,Capital Gains Tax,32.23
Waterford,2021,Income Taxes,313.99
Waterford,2021,Total,589.4200000000001
Westmeath,2021,VAT,100.38
Westmeath,2021,Corporation Tax,66.1
